title,imgName,altText,storyMedia1,storyMedia2,storyMedia3,storyMedia4,storyText
Same or Different?,sameDiff.png,,sameDiff1.png,sameDiff2.png,sameDiff3.png,,"These tessellations defined by the vertex symbol (3, 6, 4, 6) are the same; they merely appear to be different. This difference comes from choosing a different polygon as the focal point at the center of the disk: triangle, square, hexagon. Even stranger things happen in the last image on the left when the tessellation is not centered, but placed randomly inside the disk. These images provide the viewer with multiple perspectives of the same tessellation."
Networks and Squares,networksSquares.png,,networksSquares1.png,networksSquares2.png,networksSquares3.png,networksSquares4.png,"The visualization of large information or social networks presents difficulties. Let's start with four friends at each corner of a square. Each of these four friends has four other friends, and these friendships overlap. One of your friend's friends is also friends with a different friend creating a confusing social network to be encoded into a grid. If each friend has five friends instead of four, the grid shape won’t work, as we would need five connections. And we would need even more room for visualizing a social network that is branched six ways. As the number of friends increases, a hyperbolic plane becomes the most optimal choice for visualizing these social networks because one can fit 5, 6, 7 or more squares around each point (see the figures). You can have as many friends as you wish."
Color Symmetry,colSymm.png,,colSymm1.png,colSymm2.png,colSymm3.png,colSymm4.png,"Color is a method of tracking the symmetries of a tessellation. Many artists, such as Josef Albers, have noticed the essential interaction between colors and form. Different formal compositions of color guided by symmetries of a tessellation have a different visual impact and present different points of interest to a viewer. Which of these images presents the same information?"
The Harmony of the World,harmony.png,,harmony1.png,harmony2.png,,,"Until Uranus was discovered in 1781, there were five known planets other than Earth. Coincidentally there are exactly five regular tessellations of the sphere, usually drawn as regular polyhedra. Johannes Kepler, the renowned 17th-century scientist, wrote an entire book (Harmonices Mundi, 1619) arguing that this was a physical law and connecting it to the theory of harmonics. By contrast, there are infinitely many "regular polyhedra" in a hyperbolic world. Tessellation (7, 7, 7, 7), consisting of four heptagons around each vertex, was used as a starting point for the top two tessellations, while the last one is based on octagons (8, 8, 8)."
Lava,lava.png,,lava1.png,lava2.png,,,"The simple, bold designs of Lava (2012) (center), Volcano (2018) (top left), Eruption (2018) (bottom left) takes natural phenomena to the hyperbolic plane. Columnar jointing appears when lava flows into water, forming columns of polygonal cross-section in the tessellation. Similar ideas have also inspired technological breakthroughs in engineering and biomedicine such as negative stiffness honeycombs."
Knotted DiscoTess,knotTess.png,,,,,,"Knotted DNA, proteins, light, shoelaces -- knots are important in our everyday lives and in science. With knotted tessellations of the hyperbolic plane, Knotted DiscoTess (2018) combines a research interest in knots with visualizations of the hyperbolic space. The knot used as a tile was created using KnotPlot by R. Scharain, then imported into the tessellation (5, 5, 5, 5, 5, 5, 5) consisting of seven pentagons at each vertex created using software by M. Christersson."
"Something Old, Something New",somethingOld.png,,somethingOld1.png,somethingOld2.png,,,"The importance and universality of visualizations is best seen through the lens of ethnomathematics; the same mathematical ideas appear across cultures all over the world. Ornamental art, basketry, and textiles -- one of the oldest implicit emanations of mathematical concepts -- are used as inspirations for the series of tessellations Something Old, Something New."
Eridanus,eridanus.png,,eridanus1.png,eridanus2.png,eridanus3.png,,"Eridanus is the sixth-largest constellation, discovered by the Greek mathematician Ptolemy in the second century. Eridanus represents a river and these images pay an homage to Ptolemy and the beauty of the stars. This series of images, Eridanus (2012-2018) was created using the software Tess, tessellation (3, 4, 8, 4) made out of triangles, squares, and octagons, with patterns that exceed the size of the tile, forming an overlapping, flowing effect reminiscent of a stream."
Dum Spiro Spero,spiro.png,,,,,,"Through its striking and radiant spiral, Dum Spiro Spero (2018) tells a story of hope. Constructed using an analogy of a spirograph in the hyperbolic plane, it depicts the rotation of a triangle around the red dot in the negatively curved hyperbolic plane. Hyperbolic geometry makes the pattern curvy and interesting. The pattern grows, unfolds, and opens up into an invitation to bridge the gap between words and pictures, and between math and art."
The Roads,geodesic.png,,geodesic1.png,geodesic2.png,,,"The Roads (2018) is a triptych visualizing all the shortest roads between points in the hyperbolic plane represented in three different models: a Poincare or Klein disk, and a Poincare halfplane model. Models work as lenses. Lines representing roads look really different. Sometimes they’re straight and sometimes parts of circles much like an airplane’s polar routes, on which a flight from Philadelphia to Munich flies over the North Pole. No matter how they look, they’re always the shortest path (geodesic) even when they lead to infinity."
Fireworks,3Models.png,,3Models1.png,3Models2.png,3Models3.png,,"In Fireworks series (2018) the same tessellation is featured in different models of the hyperbolic plane. Notice how very different the tessellation looks when viewed in disk or half-plane models of the hyperbolic plane. The main difference between the models is that infinity is represented either by the circle or the horizontal line at the bottom of the image. That’s why things appear small and fractal-like. Still, they all have a spark."
